puma,county_fips
00100,28033
00200,28003
00200,28009
00200,28093
00200,28117
00200,28139
00200,28141
00300,28027
00300,28107
00300,28119
00300,28135
00300,28137
00300,28143
00400,28013
00400,28017
00400,28057
00400,28071
00400,28095
00500,28081
00500,28115
00500,28145
00600,28019
00600,28025
00600,28087
00600,28103
00600,28105
00600,28155
00600,28159
00700,28007
00700,28015
00700,28043
00700,28051
00700,28083
00700,28097
00700,28161
00800,28011
00800,28053
00800,28055
00800,28125
00800,28133
00800,28151
00900,28089
00900,28163
01000,28049
01000,28089
01100,28049
01200,28029
01200,28049
01200,28149
01300,28121
01300,28127
01400,28061
01400,28069
01400,28079
01400,28099
01400,28123
01400,28129
01500,28023
01500,28075
01500,28101
01600,28001
01600,28005
01600,28021
01600,28037
01600,28063
01600,28077
01600,28085
01600,28113
01600,28147
01600,28157
01700,28031
01700,28041
01700,28065
01700,28067
01700,28153
01800,28035
01800,28073
01800,28091
01800,28111
01900,28039
01900,28045
01900,28109
01900,28131
02000,28047
02100,28059
00100,15005
00100,15007
00100,15009
00200,15001
00301,15003
00302,15003
00303,15003
00304,15003
00305,15003
00306,15003
00307,15003
00308,15003
00100,01033
00100,01059
00100,01077
00100,01093
00200,01083
00200,01089
00301,01089
00302,01089
00400,01049
00400,01071
00500,01089
00500,01095
00600,01079
00600,01103
00700,01043
00700,01133
00800,01009
00800,01115
00900,01055
01000,01019
01000,01027
01000,01029
01000,01111
01000,01121
01100,01015
01200,01117
01301,01073
01302,01073
01303,01073
01304,01073
01305,01073
01400,01057
01400,01075
01400,01093
01400,01127
01500,01107
01500,01125
01600,01125
01700,01007
01700,01047
01700,01063
01700,01065
01700,01091
01700,01105
01700,01119
01800,01017
01800,01021
01800,01037
01800,01123
01900,01081
02000,01101
02100,01001
02100,01051
02100,01085
02100,01101
02200,01023
02200,01025
02200,01035
02200,01053
02200,01099
02200,01129
02200,01131
02300,01013
02300,01031
02300,01039
02300,01041
02400,01005
02400,01011
02400,01087
02400,01109
02400,01113
02500,01045
02500,01061
02500,01067
02500,01069
02600,01003
02701,01097
02702,01097
02703,01097
00100,29005
00100,29061
00100,29075
00100,29079
00100,29081
00100,29087
00100,29115
00100,29117
00100,29129
00100,29147
00100,29171
00100,29211
00100,29227
00200,29003
00200,29021
00200,29063
00300,29001
00300,29045
00300,29103
00300,29111
00300,29121
00300,29127
00300,29137
00300,29173
00300,29197
00300,29199
00300,29205
00400,29007
00400,29113
00400,29139
00400,29163
00400,29219
00500,29027
00500,29051
00500,29135
00500,29151
00600,29019
00700,29033
00700,29041
00700,29053
00700,29089
00700,29159
00700,29175
00700,29195
00800,29025
00800,29049
00800,29101
00800,29107
00800,29177
00901,29047
00902,29047
00903,29047
00903,29165
01001,29095
01002,29095
01003,29095
01004,29095
01005,29095
01100,29013
01100,29037
01200,29011
01200,29039
01200,29057
01200,29083
01200,29109
01200,29185
01200,29217
01300,29015
01300,29059
01300,29085
01300,29105
01300,29167
01400,29029
01400,29131
01400,29141
01400,29169
01500,29055
01500,29065
01500,29073
01500,29125
01500,29161
01600,29071
01701,29183
01702,29183
01703,29183
01801,29189
01802,29189
01803,29189
01804,29189
01805,29189
01806,29189
01807,29189
01808,29189
01901,29510
01902,29510
02001,29099
02002,29099
02100,29157
02100,29186
02100,29187
02100,29221
02200,29017
02200,29031
02200,29201
02300,29069
02300,29133
02300,29143
02300,29155
02300,29207
02400,29023
02400,29035
02400,29093
02400,29123
02400,29179
02400,29181
02400,29223
02500,29067
02500,29091
02500,29149
02500,29153
02500,29203
02500,29215
02500,29229
02601,29043
02601,29077
02601,29225
02602,29077
02603,29077
02700,29009
02700,29119
02700,29209
02700,29213
02800,29097
02800,29145
00104,17015
00104,17085
00104,17103
00104,17195
00105,17161
00202,17057
00202,17067
00202,17071
00202,17073
00202,17109
00202,17131
00202,17187
00300,17001
00300,17009
00300,17125
00300,17149
00300,17169
00401,17013
00401,17017
00401,17061
00401,17083
00401,17117
00401,17137
00401,17171
00501,17005
00501,17027
00501,17049
00501,17051
00501,17135
00600,17029
00600,17035
00600,17041
00600,17045
00700,17023
00700,17025
00700,17033
00700,17079
00700,17101
00700,17159
00700,17191
00800,17003
00800,17047
00800,17059
00800,17065
00800,17069
00800,17087
00800,17127
00800,17151
00800,17153
00800,17165
00800,17181
00800,17185
00800,17193
00900,17055
00900,17077
00900,17145
00900,17199
01001,17081
01001,17121
01001,17133
01001,17157
01001,17189
01104,17163
01105,17163
01204,17119
01205,17119
01300,17167
01500,17115
01602,17021
01602,17039
01602,17107
01602,17129
01602,17139
01602,17147
01602,17173
01701,17143
01900,17179
02000,17113
02100,17019
02200,17053
02200,17075
02200,17105
02200,17183
02300,17091
02400,17099
02501,17011
02501,17095
02501,17123
02501,17155
02501,17175
02501,17203
02601,17037
02700,17141
02700,17177
02801,17201
02901,17007
02901,17201
03005,17089
03007,17089
03008,17089
03009,17089
03102,17197
03105,17197
03106,17197
03107,17197
03108,17197
03202,17043
03203,17043
03204,17043
03205,17043
03207,17043
03208,17043
03209,17043
03306,17097
03307,17097
03308,17097
03309,17097
03310,17097
03401,17031
03407,17031
03408,17031
03409,17031
03410,17031
03411,17031
03412,17031
03413,17031
03414,17031
03415,17031
03416,17031
03417,17031
03418,17031
03419,17031
03420,17031
03421,17031
03422,17031
03501,17031
03502,17031
03503,17031
03504,17031
03520,17031
03521,17031
03522,17031
03523,17031
03524,17031
03525,17031
03526,17031
03527,17031
03528,17031
03529,17031
03530,17031
03531,17031
03532,17031
03601,17111
03602,17111
03700,17063
03700,17093
00101,02020
00102,02020
00200,02122
00200,02170
00300,02068
00300,02090
00300,02100
00300,02110
00300,02130
00300,02230
00300,02240
00300,02261
00400,02013
00400,02016
00400,02050
00400,02060
00400,02070
00400,02105
00400,02150
00400,02164
00400,02180
00400,02185
00400,02188
00400,02195
00400,02198
00400,02220
00400,02270
00400,02275
00400,02282
00400,02290
00100,16009
00100,16017
00100,16021
00100,16055
00100,16057
00100,16079
00200,16055
00300,16003
00300,16015
00300,16023
00300,16033
00300,16035
00300,16037
00300,16049
00300,16059
00300,16061
00300,16069
00300,16085
00400,16001
00400,16027
00400,16045
00400,16075
00400,16087
00500,16027
00500,16073
00600,16001
00600,16027
00701,16001
00702,16001
00800,16001
00900,16031
00900,16083
01000,16013
01000,16025
01000,16039
01000,16047
01000,16053
01000,16063
01000,16067
01100,16011
01100,16043
01100,16051
01100,16065
01100,16081
01200,16019
01300,16005
01300,16007
01300,16011
01300,16029
01300,16041
01300,16071
01300,16077
00101,12001
00102,12001
00500,12005
00500,12059
00500,12131
00500,12133
00901,12009
00902,12009
00903,12009
00904,12009
01101,12011
01102,12011
01103,12011
01104,12011
01105,12011
01106,12011
01107,12011
01108,12011
01109,12011
01110,12011
01111,12011
01112,12011
01113,12011
01114,12011
01500,12015
01701,12017
01900,12019
02101,12021
02102,12021
02103,12021
02300,12007
02300,12023
02300,12029
02300,12041
02300,12075
02300,12125
02700,12027
02700,12049
02700,12055
03101,12031
03102,12031
03103,12031
03104,12031
03105,12031
03106,12031
03107,12031
03301,12033
03302,12033
03500,12035
03500,12127
05301,12053
05701,12057
05702,12057
05703,12057
05704,12057
05705,12057
05706,12057
05707,12057
05708,12057
06100,12061
06300,12013
06300,12037
06300,12039
06300,12045
06300,12063
06300,12065
06300,12077
06300,12129
06901,12069
06902,12069
06902,12119
06903,12069
06903,12119
07101,12071
07102,12071
07103,12071
07104,12071
07105,12071
07300,12073
07301,12073
08101,12081
08102,12081
08103,12081
08301,12083
08302,12083
08303,12083
08500,12085
08601,12086
08602,12086
08603,12086
08604,12086
08605,12086
08606,12086
08607,12086
08608,12086
08609,12086
08610,12086
08611,12086
08612,12086
08613,12086
08614,12086
08615,12086
08616,12086
08617,12086
08618,12086
08619,12086
08620,12086
08621,12086
08622,12086
08623,12086
08624,12086
08700,12086
08700,12087
08900,12003
08900,12089
09100,12091
09300,12043
09300,12051
09300,12055
09300,12093
09501,12095
09502,12095
09503,12095
09504,12095
09505,12095
09506,12095
09507,12095
09508,12095
09509,12095
09510,12095
09701,12097
09702,12097
09901,12099
09902,12099
09903,12099
09904,12099
09905,12099
09906,12099
09907,12099
09908,12099
09909,12099
09910,12099
09911,12099
10101,12101
10102,12101
10103,12101
10104,12101
10301,12103
10302,12103
10303,12103
10304,12103
10305,12103
10306,12103
10307,12103
10308,12103
10501,12105
10502,12105
10503,12105
10504,12105
10700,12107
10700,12109
